#,"",node,betweenness,closeness,eigenvector,pagerank,clustering,modularity
1,0,9973842,0.020189,0.104100,5.109073e-07,0.005443,0.299689,3.0
2,1,83876527,0.007246,0.091225,4.026136e-07,0.004277,0.290014,3.0
3,2,22200888,0.001141,0.087760,3.952792e-07,0.002805,0.414788,3.0
4,3,17859804,0.000673,0.087318,3.507648e-07,0.002617,0.471724,3.0
5,4,17870886,0.009854,0.087208,3.462579e-07,0.002826,0.383082,3.0
6,5,14551276,0.045782,0.100479,3.289941e-07,0.003563,0.364052,3.0
7,6,22689667,0.001178,0.087428,3.179655e-07,0.002744,0.434917,3.0
8,7,10075442,0.001030,0.087099,3.071988e-07,0.002877,0.425311,3.0
9,8,79797834,0.165529,0.124920,3.051634e-07,0.004972,0.161854,3.0
10,9,44436825,0.006190,0.087208,3.036963e-07,0.002327,0.373526,3.0
11,10,11259362,0.004945,0.086881,2.977309e-07,0.001947,0.391398,3.0
12,11,14169740,0.004862,0.089000,2.845285e-07,0.002394,0.433770,3.0
13,12,55113,0.000301,0.086555,2.776126e-07,0.001903,0.496212,3.0
14,13,72680406,0.001887,0.089000,2.737223e-07,0.002066,0.522173,3.0
15,14,19681661,0.001231,0.076863,2.586162e-07,0.001908,0.494175,3.0
16,15,18109441,0.003720,0.086555,2.448200e-07,0.001824,0.367896,3.0
17,16,138549366,0.000775,0.088319,2.391033e-07,0.001860,0.524490,3.0
18,17,14677919,0.226069,0.091586,2.362041e-07,0.005756,0.133446,3.0
19,18,9503302,0.000721,0.083330,2.329327e-07,0.002292,0.490099,3.0
20,19,20757640,0.000592,0.084447,2.242071e-07,0.001853,0.570513,3.0
21,20,37977732,0.005980,0.101807,2.109940e-07,0.003171,0.190476,3.0
22,21,15465769,0.000135,0.086018,2.104545e-07,0.001496,0.685083,3.0
23,22,17902348,0.000825,0.083330,2.057325e-07,0.001497,0.444099,3.0
24,23,46073276,0.010792,0.089114,1.958125e-07,0.003890,0.255175,3.0
