#,"",node,betweenness,closeness,eigenvector,pagerank,clustering,modularity
1,0,100318079,0.138364,0.255231,0.149430,0.007041,0.189918,1.0
2,1,2367911,0.236012,0.302833,0.085597,0.008080,0.273779,1.0
3,2,70492333,0.011952,0.234812,0.040059,0.001497,0.300317,1.0
4,3,226629405,0.001229,0.229286,0.033902,0.001526,0.382373,1.0
5,4,27077521,0.000338,0.229286,0.033009,0.001579,0.415155,1.0
6,5,8163442,0.008245,0.264673,0.027397,0.003798,0.239760,1.0
7,6,155661154,0.001942,0.224894,0.024146,0.000858,0.420294,1.0
8,7,17675120,0.002031,0.227576,0.021735,0.001704,0.381495,1.0
9,8,17434613,0.000654,0.227803,0.020048,0.001767,0.409529,1.0
10,9,54228724,0.000778,0.261200,0.019826,0.002437,0.251592,1.0
11,10,55033682,0.000136,0.252556,0.018873,0.002672,0.214854,1.0
12,11,15150609,0.000957,0.229516,0.017637,0.002283,0.168939,1.0
13,12,31414569,0.002141,0.205883,0.016722,0.001032,0.221895,1.0
14,13,95260836,0.000151,0.229631,0.014385,0.001950,0.283976,1.0
15,14,148519842,0.001516,0.231723,0.014379,0.001162,0.270047,1.0
16,15,16870853,0.001425,0.247907,0.012205,0.001345,0.495690,1.0
17,16,247741328,0.002485,0.229171,0.011958,0.001776,0.326185,1.0
18,17,59588845,0.000084,0.203685,0.011938,0.000622,0.472686,1.0
19,18,46831674,0.002354,0.228257,0.011436,0.001405,0.342561,1.0
20,19,35359596,0.002876,0.248580,0.011422,0.001158,0.392593,1.0
21,20,186212304,0.023203,0.250483,0.010390,0.001278,0.207720,1.0
22,21,299715516,0.000543,0.225226,0.009124,0.001030,0.251026,1.0
23,22,33612973,0.009603,0.256087,0.009000,0.002472,0.242424,1.0
24,23,9695312,0.000124,0.249664,0.008948,0.001555,0.298319,1.0
25,24,31457243,0.000022,0.247237,0.007814,0.001034,0.311688,1.0
26,25,226165839,0.000144,0.226451,0.007741,0.001148,0.294643,1.0
27,26,28019653,0.000022,0.225226,0.006734,0.001062,0.561069,1.0
28,27,16503181,0.000270,0.225004,0.006646,0.001026,0.643478,1.0
29,28,21146135,0.008920,0.234212,0.006405,0.002050,0.231624,1.0
30,29,93224416,0.000039,0.202873,0.006332,0.000529,0.224138,1.0
31,30,73738774,0.000407,0.203957,0.006293,0.000805,0.329960,1.0
32,31,21272026,0.002839,0.250347,0.005417,0.001592,0.317568,1.0
33,32,41472982,0.000847,0.222382,0.005263,0.000645,0.386486,1.0
34,33,45333725,0.000065,0.203053,0.005209,0.000567,0.571429,1.0
35,34,49104918,0.000195,0.203053,0.005059,0.000652,0.353198,1.0
36,35,271602109,0.000124,0.203053,0.004906,0.000574,0.406015,1.0
37,36,23375688,0.000000,0.259250,0.004718,0.005286,0.139394,1.0
38,37,57828817,0.000726,0.226004,0.004704,0.001143,0.409247,1.0
39,38,368018677,0.000000,0.222234,0.004666,0.000495,0.500000,1.0
40,39,254610699,0.003414,0.229056,0.004511,0.001567,0.348276,1.0
41,40,120599128,2.720460e-03,0.223358,0.004508,0.000902,0.291304,1.0
42,41,170167167,3.068398e-03,0.224894,0.004464,0.001111,0.266520,1.0
43,42,253091523,1.807992e-03,0.222490,0.004259,0.000833,0.278976,1.0
44,43,102765423,5.161906e-02,0.210715,0.004181,0.000952,0.136078,1.0
45,44,260705759,7.786185e-04,0.223904,0.004149,0.000942,0.331492,1.0
